"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"Kazakhstan","Akmola CHP 1","","","51.1801","71.4460","Akmola","","Akmola","","","22","0","Coal","","22","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Almaty CHP 3","","","43.2809","76.9310","Almaty","","Almaty","","","173","0","Coal","","173","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Almaty CHP 1","","","43.2809","76.9310","Almaty","","Almaty","","","140","0","Coal","","140","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Akmola CHP 2","","","43.2567","76.9286","Akmola","","Almaty","","","496","0","Coal","","496","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Aksuskaya","","","43.2567","76.9286","Aksu","","Almaty","","","2","2","Hydroelectric","Hydroelectric","0","0","0","0","2","0","0","0","0","0","0","0","",""
"Kazakhstan","Issykskaya HPP","","","43.2567","76.9286","Issyk","","Almaty","","","6","6","Hydroelectric","Hydroelectric","0","0","0","0","6","0","0","0","0","0","0","0","",""
"Kazakhstan","Kapchagayskaya","","","43.9538","77.0672","Kapchagay","","Almaty","","","364","364","Hydroelectric","Hydroelectric","0","0","0","0","364","0","0","0","0","0","0","0","",""
"Kazakhstan","Karatalskaya HPS","","","43.2567","76.9286","Karatalskaya","","Almaty","","","21","21","Hydroelectric","Hydroelectric","0","0","0","0","21","0","0","0","0","0","0","0","",""
"Kazakhstan","Merek","","","43.2567","76.9286","Merek","","Almaty","","","0","0","Hydroelectric","Hydroelectric","0","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Moynakskaya","","","43.8333","78.6667","Moynak","","Almaty","","","300","300","Hydroelectric","Hydroelectric","0","0","0","0","300","0","0","0","0","0","0","0","",""
"Kazakhstan","Taldykorganskaya","","","45.0116","78.3752","Taldykorgan","","Almaty","","","5","5","Hydroelectric","Hydroelectric","0","0","0","0","5","0","0","0","0","0","0","0","",""
"Kazakhstan","Akmola CHP 2","","","51.1801","71.4460","Akmola","","Akmola","","","360","0","Coal","","360","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Tekeli CHP","","","44.2000","79.8833","Tekeli","","Almaty","","","24","0","Coal","","24","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Kapchagay","","","43.8831","77.0831","Kapchagay","","Almaty","","","2","2","Solar","Solar","0","0","0","0","0","0","0","2","0","0","0","0","",""
"Kazakhstan","ANPS","","","47.1167","51.9000","Atyrau","","Atyrau","","","24","0","Natural Gas","","0","24","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Atyrau CHP","","","47.1167","51.9000","Atyrau","","Atyrau","","","254","0","Natural Gas","","0","254","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","ES","","","47.1167","51.9000","Atyrau","","Atyrau","","","244","0","Natural Gas","","0","244","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","TGTES-1","","","46.1528","53.3833","Tengiz","","Atyrau","","","136","0","Natural Gas","","0","136","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","TGTES-2","","","46.1528","53.3833","Tengiz","","Atyrau","","","145","0","Natural Gas","","0","145","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","TGTES-3","","","46.1528","53.3833","Tengiz","","Atyrau","","","242","0","Natural Gas","","0","242","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","azakhmys","","","49.9161","73.2365","Karaganda","","Karaganda","","","115","0","Coal","","115","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Karaganda energy center CHP 1","","","49.8028","73.1056","Karaganda","","Karaganda","","","32","0","Coal","","32","0","0","0","0","0","0","0","0","0","0","0","",""
"Kazakhstan","Jet-7 CHP","","","51.1801","71.4460","Akmola","","Akmola","","","180","0","Coal","","180","0","0","0","0","0","0","0","0","0","0","0","",""
