"Country","Facility Name","Owner Name (Company)","Operator Name","Latitude","Longitude","City (Site Name)","County","State / Province / Territory","Zip Code / Postal Code","Address","Total Capacity (MW)","Total Renewable Capacity (MW)","Primary Energy Source","Primary Renewable Energy Source","Coal (MW)","Natural Gas (MW)","Petroleum (MW)","Other Energy Source (MW)","Hydroelectric (MW)","Pumped-Storage Hydroelectric (MW)","Nuclear (MW)","Solar (MW)","Wind (MW)","Geothermal (MW)","Biomass (MW)","Tidal (MW)","Source Agency","Reference Period"
"Canada","H R Milner","Maxim Power Corp","Maxim Power Corp","54.0071081","-119.1032033","Grande Cache","","Alberta","","Alberta 40","150","0","Coal","","150","0","0","0","0","0","0","0","0","0","0","0","Milner Power","2016"
"Canada","Waneta","BC Hydro (33%) / Teck Metals (66%)","FortisBC","49.0041477","-117.6128674","Pend D'Oreille River","","British Columbia","","","493.2","493.2","Hydroelectric","Hydroelectric","0","0","0","0","493.2","0","0","0","0","0","0","0","BC Hydro Quick Facts","201506"
"Canada","Charlottetown Thermal Generating Station","Maritime Electric Co Ltd","Maritime Electric Co Ltd","46.2383","-63.1182","Charlottetown","","Prince Edward Island","","","109","0","Petroleum","","0","0","109","0","0","0","0","0","0","0","0","0","Maritime Electric","201512"
"Canada","Twin Falls (Iron Ore)","","Iron Ore Co. of Canada","53.4963137","-64.5157712","","","Newfoundland and Labrador","","","225","225","Hydroelectric","Hydroelectric","0","0","0","0","225","0","0","0","0","0","0","0","CIEEDAC","201512"
"Canada","Boundary Dam","Saskatchewan Power Corp","Saskatchewan Power Corp","49.09606","-103.0305","Bienfait","","Saskatchewan","S0C 0M0","","672","0","Coal","","672","0","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Meridian Cogeneration","TransAlta Ltd / Husky Oil Ltd","TransAlta Ltd / Husky Oil Ltd","53.2593","-109.9512","Lloydminster","","Saskatchewan","","","210","0","Natural Gas","","0","210","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","North Battleford","Saskatchewan Power Corp","Saskatchewan Power Corp","52.68323","-108.17154","North Battleford","","Saskatchewan","","","260","0","Natural Gas","","0","260","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Poplar River","Saskatchewan Power Corp","Saskatchewan Power Corp","49.0579076","-105.485058","Coronach","","Saskatchewan","S0H 0Z0","","582","0","Coal","","582","0","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Queen Elizabeth","Saskatchewan Power Corp","Saskatchewan Power Corp","52.0944","-106.705","Saskatoon","","Saskatchewan","","","634","0","Natural Gas","","0","634","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Shand","Saskatchewan Power Corp","Saskatchewan Power Corp","49.0750509","-102.8640833","Estevan","","Saskatchewan","","","276","0","Coal","","276","0","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Yellowhead","Saskatchewan Power Corp","Saskatchewan Power Corp","52.723374","-108.231795","North Battleford","","Saskatchewan","","","138","0","Natural Gas","","0","138","0","0","0","0","0","0","0","0","0","0","SaskPower","201612"
"Canada","Armow","Sp Armow Wind Ontario LP","","44.2043992","-81.4573523","Kincardine","","Ontario","","","180","180","Wind","Wind","0","0","0","0","0","0","0","0","180","0","0","0","CanWEA","201612"
