"Reference Period","Source Agency","Tidal (MW)","Biomass (MW)","Geothermal (MW)","Wind (MW)","Solar (MW)","Nuclear (MW)","Pumped-Storage Hydroelectric (MW)","Hydroelectric (MW)","Other Energy Source (MW)","Petroleum (MW)","Natural Gas (MW)","Coal (MW)","Primary Renewable Energy Source","Primary Energy Source","Total Renewable Capacity (MW)","Total Capacity (MW)","Address","Zip Code / Postal Code","State / Province / Territory","County","City (Site Name)","Longitude","Latitude","Operator Name","Owner Name (Company)","Facility Name","Country"
"201302","CSSKY","0","0","0","0","9.5","0","0","0","0","0","0","0","Solar","Solar","9.5","9.5","","","Ontario","","Simcoe","-80.3607208","42.8550133","Skypower Ltd / Sunedison","Skypower Ltd / Sunedison","13th Side Road","Canada"
"201708","MERN","0","0","0","0","0","0","0","2.1","0","0","0","0","Hydroelectric","Hydroelectric","2.1","2.1","","","Québec","","Sherbrooke","-71.8932044","45.4051719","Ville de Sherbrooke /Hydro Sherbrooke","Ville de Sherbrooke /Hydro Sherbrooke","Abénaquis","Canada"
"201708","BC Hydro","0","0","0","0","0","0","0","24","0","0","0","0","Hydroelectric","Hydroelectric","24","24","","","British Columbia","","Bull River","-115.3624237","49.4933193","BC Hydro","BC Hydro","Aberfeldie","Canada"
"201708","OPG","0","0","0","0","0","0","0","349","0","0","0","0","Hydroelectric","Hydroelectric","349","349","","","Ontario","","Cochrane","-81.566985","49.8821754","Ontario Power Generation Inc","","Abitibi Canyon","Canada"
"201708","MERN","0","0","0","0","0","0","0","7","0","0","0","0","Hydroelectric","Hydroelectric","7","7","","","Québec","","Saint David de Falardeau","-71.1707618","48.6581186","Hydro Saguenay","Hydro Saguenay","Adam-Cunningham","Canada"
"201612","CanWEA","0","0","0","59.9","0","0","0","0","0","0","0","0","Wind","Wind","59.9","59.9","","","Ontario","","Kerwood","-81.7068059","42.9876689","Kerwood Wind, LP","Kerwood Wind, LP","Adelaide","Canada"
"201612","CanWEA","0","0","0","40","0","0","0","0","0","0","0","0","Wind","Wind","40","40","","","Ontario","","Strathroy","-81.7392372","43.0183778","Suncor Adelaide Wind LP","Suncor Adelaide Wind LP","Adelaide (Suncor)","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Strathroy","-81.6708474","42.9584663","Met Fiera Solar Adelaide 1 LP","Met Fiera Solar Adelaide 1 LP","Adelaide 1","Canada"
"201612","CanWEA","0","0","0","3","0","0","0","0","0","0","0","0","Wind","Wind","3","3","","","Prince Edward Island","","Norway","-64.0050743","47.0367968","PEI Energy Corp","PEI Energy Corp","Aeolus","Canada"
"201708","OPG","0","0","0","0","0","0","0","45","0","0","0","0","Hydroelectric","Hydroelectric","45","45","","","Ontario","","Terrace Bay","-87.1610088","48.7866566","Ontario Power Generation Inc","","Aguasabon","Canada"
"201612","Yukon Energy","0","0","0","0","0","0","0","37","0","0","0","0","Hydroelectric","Hydroelectric","37","37","","","Yukon","","Aishihik","-137.0508515","61.0351474","Yukon Energy Corp","","Aishihik","Canada"
"201708","TransAlta","0","0","0","0","0","0","0","10","0","0","0","0","Hydroelectric","Hydroelectric","10","10","","","British Columbia","","Revelstoke","-118.0295293","50.8227167","Canadian Hydro Developers Inc","TransAlta (100%)","Akolkolex","Canada"
"201703","IESO","0","0","0","0","5","0","0","0","0","0","0","0","Solar","Solar","5","5","","","Ontario","","Roseneath","-78.0945886","44.1938766","Alderville Solar LP","Alderville Solar LP","Alderville 3","Canada"
"201708","OPG","0","0","0","0","0","0","0","69","0","0","0","0","Hydroelectric","Hydroelectric","69","69","","","Ontario","","Thunder Bay","-88.3579955","49.135451","Ontario Power Generation Inc","","Alexander","Canada"
"201703","IESO","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","Alfred","-74.8877807","45.5399731","2225228 Ontario Inc","2225228 Ontario Inc","Alfred","Canada"
"201407","Ontario Rivers Alliance","0","0","0","0","0","0","0","5","0","0","0","0","Hydroelectric","Hydroelectric","5","5","","","Ontario","","Mississipi Mills","-76.1980641","45.225834","Mississippi River Power Corp","","Almonte","Canada"
"201708","Alberta Energy","0","125","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","125","125","Range Road","T0A 0M0","Alberta","","Boyle","-112.8622276","54.9209531","APF Athabasca","APF Athabasca","AlPac Boyle","Canada"
"201612","CanWEA","0","0","0","31.5","0","0","0","0","0","0","0","0","Wind","Wind","31.5","31.5","","","Nova Scotia","","","-64.2417221","45.8266631","Sprott Power Corp","","Amherst I","Canada"
"201312","Solar Industry Mag","0","0","0","0","10","0","0","0","0","0","0","0","Solar","Solar","10","10","","","Ontario","","","-83.0769334","42.1448656","Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%)","Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%)","Amherstburg Solar","Canada"
"201607","HeliosEnergy","0","0","0","0","20","0","0","0","0","0","0","0","Solar","Solar","20","20","","","Ontario","","Amherstburg","-83.0806921","42.1637388","Helios Solar Star A-1 LP","Capstone Infrastructure Corp","Amherstburg-1","Canada"
"201607","HeliosEnergy","0","0","0","0","15","0","0","0","0","0","0","0","Solar","Solar","15","15","","","Ontario","","Amherstburg","-83.0876204","42.1689579","Enbridge","Enbridge","Amherstburg-2","Canada"
"201703","IESO","0","0","0","0","0","0","0","47","0","0","0","0","Hydroelectric","Hydroelectric","47","47","","","Ontario","","Batchawana Bay","-84.6460636","47.2386307","Brookfield Renewable Energy Partners","Brookfield Renewable Power Inc","Andrews","Canada"
"201304","Integrated Resource Recovery I","0","3.2","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","3.2","3.2","","","British Columbia","","Delta","-122.9497022","49.1667924","British Columbia","","Annacis Island Wwtp","Canada"
"201708","NS Power","20","0","0","0","0","0","0","0","0","0","0","0","Tidal","Tidal","20","20","236 Prince Albert Rd","B0S 1E0","Nova Scotia","","Annapolis Royal","-65.5119483","44.7530487","Nova Scotia Power Inc","Nova Scotia Power Inc","Annapolis Tidal","Canada"
"201703","IESO","0","0","0","0","0","0","0","1.4","0","0","0","0","Hydroelectric","Hydroelectric","1.4","1.4","","","Ontario","","Almonte","-76.1266672","45.1828616","TransAlta (100%)","Canadian Hydro Developers, Inc","Appleton","Canada"
"201612","CanWEA","0","0","0","69","0","0","0","0","0","0","0","0","Wind","Wind","69","69","Hwy 810","","Alberta","","Fort Macleod","-113.4350879","49.5829657","TransAlta","TransAlta","Ardenville","Canada"
"201703","IESO","0","0","0","0","9","0","0","0","0","0","0","0","Solar","Solar","9","9","","","Ontario","","Elmvale","-79.849295","44.628977","Aria LP","Concord Aria Partnership","Aria","Canada"
"201612","CanWEA","0","0","0","180","0","0","0","0","0","0","0","0","Wind","Wind","180","180","","","Ontario","","Kincardine","-81.4573523","44.2043992","","Sp Armow Wind Ontario LP","Armow","Canada"
"201604","APEG.BC.CA","0","20","0","0","0","0","0","0","0","0","0","0","Biomass","Biomass","20","20","","","British Columbia","","Armstrong","-119.2259013","50.3922421","","Tolko BC","Armstrong Cogeneration","Canada"
"201708","OPG","0","0","0","0","0","0","0","82","0","0","0","0","Hydroelectric","Hydroelectric","82","82","","","Ontario","","Arnprior","-76.3470058","45.4186581","Ontario Power Generation Inc","","Arnprior","Canada"
"201708","EDF Energies Nouvelles","0","0","0","0","23.4","0","0","0","0","0","0","0","Solar","Solar","23.4","23.4","Galetta Side Rd","K7S 3G7","Ontario","","Arnprior","-76.275","45.408333","EDF Energies Nouvelles","EDF Energies Nouvelles","Arnprior Solar","Canada"
"201708","Columbia Power","0","0","0","0","0","0","0","185","0","0","0","0","Hydroelectric","Hydroelectric","185","185","","","British Columbia","","Slocan","-117.7688492","49.3430244","Arrow Lakes Power Corp","Columbia Power (50%) / Columbia Basin Trust (50%)","Arrow Lakes","Canada"
"201612","CanWEA","0","0","0","10","0","0","0","0","0","0","0","0","Wind","Wind","10","10","","","Ontario","","Wellington North","-80.515229","43.8477665","Arthur Wind Farm Ltd Partnership","Arthur Wind Farm Ltd Partnership","Arthur","Canada"
